Id,Name,Rating,Discount(%),CashBack,Cost_for_Two(₹),City,Locality,Home_Delivery,Manu_Count
183,Bittersweettsomething,2,10,50,150,Mumbai,Tardeo,FALSE,2
184,Ali's Pizza Hut,3.7,10,50,350,Mumbai,Mumbai Central,FALSE,5
185,Alis Multi Cuisine,2,10,50,200,Mumbai,Kamathipura,FALSE,0
186,Punjab Sind Food,2,10,50,500,Mumbai,Kamathipura,FALSE,0
187,Drums Beat Bar And Restaurant,2,10,50,500,Mumbai,Tardeo,FALSE,0
188,Dev Momos Tardeo,4,10,50,500,Mumbai,Khardi,FALSE,3
189,Think Healthy,2,10,50,500,Mumbai,Mumbai Central,FALSE,1
190,Dev Momos,4.3,3,25,100,Mumbai,Tardeo,FALSE,4
191,Sleight of Hand,2,10,50,350,Mumbai,Khardi,FALSE,0
192,Punjab Dairy Farm,3.7,10,50,450,Mumbai,Grant Road West,FALSE,0
193,Shreenathji Fastfood & More,2,10,50,500,Mumbai,Tardeo,FALSE,0
194,Baraesti Grill Bar & Beyond,2,10,50,500,Mumbai,Tardeo,FALSE,0
195,Niku's Kitchen,2,10,50,500,Mumbai,Tardeo,FALSE,1
196,Central Chinese & Fast Food,3,5,30,250,Mumbai,Tardeo,FALSE,5
197,Goan Spice,4.4,3,25,900,Mumbai,Khardi,FALSE,9
198,Bake On Through,3,5,30,,Mumbai,Tardeo,FALSE,0
199,Anjali Bakery.,2,10,100,500,Mumbai,Khardi,FALSE,0
200,Bakery Gateau,3,5,30,500,Mumbai,Khardi,FALSE,0
201,Oven Story,4.2,10,100,500,Mumbai,Grant Road,FALSE,0
202,Faasos Signature Wraps & Rolls,4,3,25,400,Mumbai,Grant Road,FALSE,11
203,The Good Bowl - Grant Road,3,5,30,500,Mumbai,Grant Road,FALSE,0
204,Behrouz - Grant Road,3,5,30,500,Mumbai,Grant Road,FALSE,0
205,Lunchbox - Grant Road,3,5,30,500,Mumbai,Grant Road,FALSE,0
206,Firangi Bake - Grant Road,3,5,30,500,Mumbai,Grant Road,FALSE,0
207,The Biryani Life - Grant Road,3,5,30,500,Mumbai,Grant Road,FALSE,0
208,Pure Veg Meals By LunchBox,4.1,10,100,500,Mumbai,Grant Road,TRUE,1
209,Mehfil by Behrouz,3.6,3,25,800,Mumbai,Grant Road,FALSE,1
210,Immunity Booster Meals By Lunchbox,2,10,50,200,Mumbai,Grant Road,FALSE,0
211,Vital Bowls,3,5,30,300,Mumbai,Grant Road,FALSE,0
212,Firangi Bake,4.8,10,100,600,Mumbai,Grant Road,FALSE,2
213,Faasos - Grant Road,3,10,75,500,Mumbai,Grant Road,TRUE,0
214,The Biryani Life,3.4,5,30,500,Mumbai,Grant Road,TRUE,1
215,The Good Bowl,4,5,30,400,Mumbai,Grant Road,TRUE,10
216,LunchBox - Meals and Thalis,4.2,5,30,400,Mumbai,Grant Road,TRUE,2
217,Sweet Truth - Cake and Desserts,3.5,5,30,500,Mumbai,Grant Road,TRUE,1
218,Behrouz Biryani,4.1,5,30,800,Mumbai,Grant Road,TRUE,4
219,Ovenstory Pizza,3.6,5,30,700,Mumbai,Grant Road,TRUE,3
220,Slay Coffee,4.1,10,100,400,Mumbai,Grant Road,TRUE,2
221,Wendy's,4.1,10,100,400,Mumbai,Grant Road,TRUE,5
222,Faasos - Grant Road,3,10,75,500,Mumbai,Grant Road,TRUE,0
223,Faasos - Grant Road,3,10,75,500,Mumbai,Grant Road,TRUE,0
224,BaHa Superfoods,2,10,50,250,Mumbai,Grant Road,FALSE,1
225,Shree Delhi Bhojanalya,3,5,30,500,Mumbai,Grant Road,FALSE,0
226,Navratri Meals by LunchBox,2,10,100,500,Mumbai,Grant Road,FALSE,0
227,Soul Food,3.1,10,50,600,Mumbai,Grant Road,FALSE,1
228,The Next Door Baker,2,10,50,300,Mumbai,Grant Road,FALSE,0
229,Shree Delhi Bhojanalaya,4.3,10,50,350,Mumbai,Grant Road,FALSE,9
230,Hotel Sai Gomantak,2,10,50,450,Mumbai,Tardeo,FALSE,0
231,Maji Sagar,3.8,10,30,550,Mumbai,Tardeo,FALSE,15
